Games,Country,Gold,Silver,Bronze,Total,Comments
1896,Athens,11,7,2,20,NA
1900,Paris,19,14,14,47,NA
1904,St. Louis,78,82,79,239,NA
1908,London,23,12,12,47,NA
1912,Stockholm,25,19,19,63,NA
1920,Antwerp,41,27,27,95,NA
1924,Paris,45,27,27,99,NA
1928,Amsterdam,22,18,16,56,NA
1932,Los Angeles,41,32,30,103,NA
1936,Berlin,24,20,12,56,NA
1948,London,38,27,19,84,NA
1952,Helsinki,40,19,17,76,NA
1956,Melbourne,32,25,17,74,NA
1960,Rome,34,21,16,71,NA
1964,Tokyo,36,26,28,90,NA
1968,Mexico City,45,28,34,107,NA
1972,Munich,33,31,30,94,NA
1976,Montreal,34,35,25,94,NA
1980,Moscow,0,0,0,0,Boycotted the event
1984,Los Angeles,83,60,30,173,NA
1988,Seoul,36,31,27,94,NA
1992,Barcelona,37,34,37,108,NA
1996,Atlanta,44,32,25,101,NA
2000,Sydney,37,24,33,94,NA
2004,Athens,34,39,27,100,NA
2008,Beijing,36,38,36,110,Phelps creates history
2012,London,46,29,29,104,NA
